Variável,Dado
Metodologia," A torta foi obtida através da extração do óleo que foi realizada por prensagem. A seguir, por trituração em liquidificador industrial METAVISA obteve-se uma farinha fina de granulometria padronizada em peneira de 32 mesh.. A composição centesimal da farinha foi analisada segundo metodologia da AOAC. A análise de proteína bruta foi realizada conforme o método de Kjeldahl, os teores de cinzas por incineração em mufla 550°C, umidade foi determinada por secagem direta em estufa a 105°C, para a extração de lipídios foi utilizado o método de Soxhlet. A metodologia empregada para a determinação de fibra bruta foi baseada segundo a AOAC. Os minerais cálcio, potássio e lítio foi por espectrofotometria de chamas e o fósforo por método espectrofotométrico. A determinação microbiológica foi realizada por contagem direta em placas para Stafilococos aureus, E.coli e bolores e leveduras pelo método Petrifilm. As análises de Bacillus cereus foram feitas seguindo os procedimentos de plaqueamento direto"
Resultados, xxxx 
Conclusão, xxxx
Palavras-Chave," BARU, FARINHA DESENGORDURADA,"
Colaboradores," MARCOS SODRÉ SANTOS, ANTONIO JOSÉ DE REZENDE, MARGARIDA FELICIANO CARVALHO, JÉSSICA BENEDETTI, LÍVIA DE LACERDA DE OLIVEIRA PINELI"
CARACTERIZAÇÃO FÍSICO-QÍMICA E MICROBIOLÓGICA DA FARINHA FINA DESENGORDURADA DE AMÊNDOAS DE BARU (Dipteryx alata Vog).,TituloTrabalho
Bolsista, LARIZA FRANÇA DE SOUSA E SÁ
Unidade Acadêmica, Nutrição 
Instituição, UCB
Orientador (a), MARILEUSA DOSOLINA CHIARELLO
Introdução," O bioma cerrado está entre os mais ameaçados do mundo (SANTOS et al., 2012). Sendo rico em sua fauna e flora, apresentando grande biodiversidade (MARTINS et al., 2009). Com flora bastante diversificada contem inúmeras espécies vegetais que geram alto potencial econômico alem de utilização para fins medicinais e nutricionais (ÁVILA et al., 2009). O barueiro (Dipteryx alata Vog.) pertence a família Leguminosae sendo um vegetal arbóreo com várias denominações populares: barujó, baruzeiro, baruí, coco-feijão e cumbaru (VERA & SOUZA, 2009). Esta espécie pode contribuir para a preservação da biodiversidade do bioma cerrado graças ao seu uso sustentável sendo um produto com boa qualidade nutricional, alta produtividade e fácil armazenamento (SANO et al., 2004).O presente trabalho teve como objetivo a caracterização físico-química e nmicrobiológica da farinha desengordurada de baru, com granulometria fina."
Metodologia," A torta foi obtida através da extração do óleo que foi realizada por prensagem. A seguir, por trituração em liquidificador industrial METAVISA obteve-se uma farinha fina sendo esta padronizada a granulometria em peneira de 32 MESH. A composição centesimal da farinha foi analisada segundo metodologia da AOAC. A análise de proteína bruta foi realizada conforme o método de Kjeldahl, os teores de cinzas por incineração em mulfla 550°C, umidade foi determinada por secagem direta em estufa a 105°C, para a extração de lipídios foi utilizado o método de Soxhlet. A metodologia empregada para a determinação de fibra bruta foi baseada segundo a AOAC. Os minerais cálcio, potássio e lítio foi por espectrofotometria de chamas e o fósforo por método espectrofotométrico. A determinação microbiológica foi realizada por contagem direta em placas para Estafilococos aureus, E.coli e bolores e leveduras pelo método petrifilm. As análises de Bacillus cereus foram feitas seguindo os procedimentos de plaqueam"
Resultados," A farinha fina apresentou elevado teor de proteína (29,46%, bs) semelhante ao das amêndoas. O teor de lipídios (11,84 bs) ficou abaixo do que se encontra nas amêndoas, uma vez que farinha foi desengordurada previamente por prensagem. O teor médio de cinzas (4,7% bs) foi superior ao teor observado nas amêndoas, pois o processo de desengorduramento da farinha concentrou a fração mineral. A farinha apresentou um valor médio de fibra bruta de 11,01% (bs).A farinha apresentou-se dentro dos padrões microbiológicos estabelecidos pela RDC 12/01."
Conclusão," A farinha fina apresentou elevado teor de proteína (29,46%, bs) semelhante ao das amêndoas. O teor de lipídios (11,84 bs) ficou abaixo do que se encontra nas amêndoas, uma vez que farinha foi desengordurada previamente por prensagem. O teor médio de cinzas (4,7% bs) foi superior ao teor observado nas amêndoas, pois o processo de desengorduramento da farinha concentrou a fração mineral. A farinha apresentou um valor médio de fibra bruta de 11,01% (bs).A farinha apresentou-se dentro dos padrões microbiológicos estabelecidos pela RDC 12/01."
Palavras-Chave," Dipteryx alata Vog, baru, caracterização microbiológica"
Colaboradores," LIVIA DE LACERDA DE OLIVEIRA PINELI, MARCOS SODRÉ SANTOS, ANTONIO JOSÉ DE REZENDE, MARGARIDA FELICIANO CARVALHO, JÉSSICA BENEDETTI"
Construção de baculovírus AgMNPV recombinante expressando a proteína non-estrutural 1 do Dengue virus,TituloTrabalho
Bolsista, Larizza Hellen Santana Matos
Unidade Acadêmica, Biologia Celular 
Instituição, UnB
Orientador (a), TATSUYA NAGATA
Introdução," A dengue é a principal doença transmitida por artrópodes em regiões subtropicais. O vírus da dengue (DENV) é um arbovírus da família Flaviviridae, gênero Flavivírus, que inclui quatro sorotipos: DENV-1, DENV-2, DENV-3 e DENV-4, que podem ser diferenciados por métodos sorológicos e moleculares. De acordo com a Organização Mundial da Saúde (OMS) estima-se que 50 a 100 milhões de pessoas são infectadas anualmente e dentre elas 550 mil são hospitalizados e 20 mil chegam a óbito. O atual diagnóstico de infecção pelo vírus da dengue na rede pública é baseado em MAC-ELISA (captura de anticorpo IgM) que pode gerar falsos negativos principalmente na primeira fase da infecção. A glicoproteína não-estrutural 1 (NS1) presente na corrente sanguínea do paciente infectado é detectada anteriormente a IgM e persiste por toda a infecção. A deteção de NS1 permite o diagnóstico precoce da Dengue, que possui quadro sintomático semelhante a gripe ou resfriado, porém apresenta tratamento distinto, assim, a"
Metodologia," Os genes NS1 de DENV 1, 2 e 3 foram obtidos pela técnica de RT-PCR de RNA extraídos de células infectadas pelo Aedes albopictus (linhagem C6/36), posteriormente clonados no vetor pGEM-T Easy (Invitrogen) e subclonado em dois vetores pFAST-PH10 e pFASTBac1-6xHis-AcPH. Os clones foram confirmados por digestão com enzimas de restrição e estão sendo sequenciados para a confirmação da correta sequência nucleotídica gerada."
Resultados," Os genes NS1 de DENV 1, 2 e 3 foram corretamente clonados no vetor p-GEM T Easy (Invitrogen) e subclonados no vetor pFAST- PH10 utilizando as enzimas de restrição NheI e MluI (New England Biolabs-NEB) e no vetor pFASTBac1-6xHis-AcPH utilizando as enzimas PciI e NcoI (NEB) foram confirmados por digestão com as respectivas enzimas, gerando fragmentos esperados de 1kb (mil pares de base) correspondente ao inserto e 6 kb correspondente ao vetor, no entanto, a confirmação via sequenciamento é necessária e já esta sendo realizada. Posteriormente iremos construir o bacmídeo recombinante, transfectar e infectar as células de inseto (Spodoptera frugiperda, S.F"
21) e então analisar a expressão da proteína por microscopia óptica e gel desnaturante de poliacrilamida (SDS-PAGE).,TituloTrabalho
Conclusão," Os genes NS1 de DENV 1, 2 e 3 foram corretamente clonados no vetor p-GEM T Easy (Invitrogen) e subclonados no vetor pFAST- PH10 utilizando as enzimas de restrição NheI e MluI (New England Biolabs-NEB) e no vetor pFASTBac1-6xHis-AcPH utilizando as enzimas PciI e NcoI (NEB) foram confirmados por digestão com as respectivas enzimas, gerando fragmentos esperados de 1kb (mil pares de base) correspondente ao inserto e 6 kb correspondente ao vetor, no entanto, a confirmação via sequenciamento é necessária e já esta sendo realizada. Posteriormente iremos construir o bacmídeo recombinante, transfectar e infectar as células de inseto (Spodoptera frugiperda, S.F"
21) e então analisar a expressão da proteína por microscopia óptica e gel desnaturante de poliacrilamida (SDS-PAGE). ,TituloTrabalho
Palavras-Chave," pFAST-pH10, DH10- Bac, DENV 1, 2 e 3, Dengue vírus, baculovírus, expressão heteróloga, NS1 "
Colaboradores, Raíssa Allan Santos Domingues Daniel Mendes Pereira Ardisson de Araújo
Métricas Híbridas para Avaliação da Qualidade de Vídeos Transmitidos em Redes de Pacotes,TituloTrabalho
Bolsista, Laryssa Dayse Vilar e Silva
Unidade Acadêmica, Ciência da Computação 
Instituição, UnB
Orientador (a), MYLENE CHRISTINE QUEIROZ DE FARIAS
Introdução," Para medir se um sinal de vídeo possui uma qualidade boa ou aceitável, utilizamos as chamadas métricas de qualidade. A maioria das métricas de qualidade já desenvolvidas são métricas com referência, que consistem basicamente na medição da qualidade de um vídeo comparando-o com o seu original. O problema das métricas com referência é que em aplicações onde o vídeo é transmitido em tempo real, não há vídeo original para comparação e essa técnica torna-se inaplicável. Nossa proposta é o desenvolvimento de uma métrica de qualidade híbrida que procure contornar esse tipo de problema e o desempenho inferior das métricas sem referência já desenvolvidas. Em resumo, este tipo de métrica é uma combinação das métricas de QoS, praticadas na área de redes de computadores, e das métricas de qualidade de vídeo tradicionais, que utilizam técnicas de processamento de imagens para processar o sinal de vídeo decodificado."
Metodologia," A metodologia utilizada consistiu na leitura de artigos científicos e no aprendizado de softwares e linguagens de programação para implementação e teste dos algoritmos propostos. Inicialmente, foi selecionado um conjunto de referências bibliográficas para estudo dos conceitos básicos necessários ao trabalho. Depois, iniciou-se a fase de familiarização com o software de simulação de redes NS-3 para simulação de trasmissão de vídeo digital em diferentes cenários de redes de comunicações. Adicionalmente, foi necessária a familiarização com algoritmos de codificação de vídeo e extração de sequências descritivas do vídeo codificado. O próximo passo consiste na simulação da transmissão de vídeo nos cenários planejados para consequente desenvolvimento de uma métrica híbrida de vídeo."
Resultados," Neste trabalho, foram implementados em NS-3 alguns cenários simples de redes de comunicações que serão utlizados para simulação da transmissão de vídeos em redes de pacotes. Para isto, a partir do sinal de vídeo comprimido foram geradas sequências descritivas (tracers) do vídeo codificado e vice-versa, o que exigiu adaptações de ferramentas já disponíveis e a implementação de programas simples para formatação dos tracers. Dos resultados obtidos até o momento, é possível perceber que o bitstream de vídeo gerado a partir do codificador (H.264) possui pacotes grandes. Logo, de forma a poder transmitir o bitstream, o simulador segmenta estes pacotes em pacotes menores. Os próximos passos do projeto são a simulação da transmissão de vídeo utilizando o NS-3 e a utilização de métricas de qualidade simples para aferição da qualidade de vídeo."
Conclusão," Neste trabalho, foram implementados em NS-3 alguns cenários simples de redes de comunicações que serão utlizados para simulação da transmissão de vídeos em redes de pacotes. Para isto, a partir do sinal de vídeo comprimido foram geradas sequências descritivas (tracers) do vídeo codificado e vice-versa, o que exigiu adaptações de ferramentas já disponíveis e a implementação de programas simples para formatação dos tracers. Dos resultados obtidos até o momento, é possível perceber que o bitstream de vídeo gerado a partir do codificador (H.264) possui pacotes grandes. Logo, de forma a poder transmitir o bitstream, o simulador segmenta estes pacotes em pacotes menores. Os próximos passos do projeto são a simulação da transmissão de vídeo utilizando o NS-3 e a utilização de métricas de qualidade simples para aferição da qualidade de vídeo."
